iter	Accuracy	MultiClass
0	0.272467903	1.929013278
1	0.2881597718	1.914477186
2	0.2895863053	1.899721633
3	0.2981455064	1.884757073
4	0.3124108417	1.869372528
5	0.3081312411	1.862901603
6	0.305278174	1.854573719
7	0.2938659058	1.846129567
8	0.3038516405	1.836693576
9	0.3166904422	1.828951817
10	0.3166904422	1.821746822
11	0.3166904422	1.817894924
12	0.3181169757	1.813583978
13	0.3209700428	1.807856305
14	0.3209700428	1.800033114
15	0.3195435093	1.796288767
16	0.3281027104	1.792781511
17	0.3266761769	1.788918848
18	0.3266761769	1.786540185
19	0.3281027104	1.78046277
20	0.3295292439	1.777426115
21	0.332382311	1.771094119
22	0.3437945792	1.765236762
23	0.3409415121	1.759010951
24	0.3466476462	1.75264607
25	0.3523537803	1.747591994
26	0.3580599144	1.743914487
27	0.3594864479	1.740737663
28	0.3609129815	1.735069775
29	0.365192582	1.731114576
30	0.3694721826	1.728679343
31	0.3708987161	1.725081767
32	0.3723252496	1.721630861
33	0.3780313837	1.717452225
34	0.3808844508	1.712811278
35	0.3808844508	1.708920985
36	0.3808844508	1.706808992
37	0.3737517832	1.704391069
38	0.3766048502	1.700469383
39	0.3894436519	1.697542619
40	0.3908701854	1.692755344
41	0.395149786	1.689833641
42	0.3965763195	1.687023115
43	0.3965763195	1.684354955
44	0.3980028531	1.681282689
45	0.4037089872	1.678332069
46	0.4051355207	1.674131195
47	0.4022824536	1.671521245
48	0.4079885877	1.668044451
49	0.4122681883	1.664343401
50	0.4065620542	1.66055162
51	0.4065620542	1.659039894
52	0.4094151213	1.654929158
53	0.4151212553	1.651466037
54	0.4179743224	1.646909778
55	0.422253923	1.644078187
56	0.4208273894	1.640323223
57	0.4236804565	1.635575489
58	0.422253923	1.632637238
59	0.4265335235	1.630221428
60	0.4293865906	1.627339481
61	0.4293865906	1.626097098
62	0.4322396576	1.624038619
63	0.4365192582	1.618402189
64	0.4422253923	1.614757451
65	0.4450784593	1.611834804
66	0.4479315264	1.607319605
67	0.4493580599	1.603627732
